Site,Name,Seclasse,p_water,p_ricefield,p_industrial,p_sparse_urb,p_compact_ur,detection_index
1,Ambatomaro,Riche,4.13020541320307e-05,0.110431694,0.316549052,0.390147299,0.182830652,2.354705695
2,Ambodimita,Moyen,0,0.003117571,0.025974694,0.957555854,0.013351881,2.018857956
4,Ambohimandray,Moyen,6.77864029002317e-05,0.121237575,0.232675621,0.326948198,0.31907082,1.765186
5,Ambohimiandra,Pauvre,0.000746377,0.182256477,0.177696618,0.422977318,0.21632321,2.328125493
6,Ampandrana,Moyen,6.39710480333633e-05,0.094947301,0.201936477,0.250320624,0.452731627,1.939291366
7,Analamahitsy,Moyen,0.021938339,0.11382416,0.173966508,0.349335462,0.340935531,2.126494314
8,Andavamamba,Pauvre,0.027618109,0.228968902,0.150919723,0.250676067,0.341817199,2.349894654
9,Andraharo,Pauvre,0.00099528,0.339483347,0.214889652,0.179604884,0.265026836,2.631815349
10,Andraisoro,Pauvre,6.16453195012479e-05,0.121460047,0.208763357,0.431008037,0.238706913,2.213161474
2,Ambodivona,Moyen,7.80753212903668e-05,0.022951926,0.205321191,0.166126304,0.605522504,1.645936765
11,Anjanahary,Moyen,0.000112689,0.032179234,0.202789155,0.216041772,0.548877151,1.718608538
12,Ankazotoho,Pauvre,0.007899475,0.404254896,0.143003585,0.245693444,0.199148601,2.776063199
13,Ankerana,Moyen,0.000111322,0.185016741,0.164111217,0.35552937,0.295231351,2.239247313
14,Anosipatrana,Pauvre,0.008138451,0.241293113,0.174633797,0.262040338,0.3138943,2.367741078
15,Faravohitra-Analakely,Riche,0.001065573,0.056902862,0.15021047,0.252961475,0.53885962,1.728353292
16,Isotry-Antetezana,Riche,0.000131579,0.034482251,0.229576565,0.08934451,0.646465094,1.652470711
17,Mahamasina,Moyen,0.000495426,0.205217681,0.162235823,0.385780705,0.246270364,2.3278871
18,Mandroseza,Riche,0.000212456,0.178969517,0.146907777,0.460029096,0.213881154,2.291603024
19,Soavimasoandro,Riche,0.009844545,0.147009805,0.181276384,0.442315145,0.21955412,2.160426
