"","1","2","3","4","5","6","7","8","9"
"1",122,128,131,142,171,150,160,139,132
"2",37,38,38,47,66,NA,NA,NA,NA
"3",16,14,19,15,12,NA,NA,NA,NA
"4",33,16,18,23,26,NA,NA,NA,NA
"5",47,50,62,49,60,NA,NA,NA,NA
"6",32,38,41,39,37,NA,NA,NA,NA
"7",51,43,63,44,45,NA,NA,NA,NA
"8",76,68,58,63,75,NA,NA,NA,NA
"9",11,12,23,18,16,NA,NA,NA,NA
"10",174,175,200,167,180,NA,NA,NA,NA
"11",32,41,39,36,42,NA,NA,NA,NA
"12",74,79,75,86,120,NA,NA,NA,NA
"13",64,68,71,68,69,NA,NA,NA,NA
"14",48,38,59,48,50,NA,NA,NA,NA
"15",30,31,27,27,24,NA,NA,NA,NA
"16",54,47,50,76,61,NA,NA,NA,NA
"17",13,15,13,16,12,NA,NA,NA,NA
"18",26,28,19,33,37,NA,NA,NA,NA
"19",135,126,147,157,117,NA,NA,NA,NA
